tingkat setelah parent,parent,similarity
4,kelud,"[('merapi', 0.7610523700714111), ('sinabung', 0.7487227916717529), ('marapi', 0.7316694259643555), ('papandayan', 0.7303470969200134), ('merbabu', 0.7291971445083618), ('ciremai', 0.7175449728965759), ('ceremai', 0.7150725722312927), ('semeru', 0.7125487923622131), ('vesuvius', 0.7011295557022095), ('arjuno', 0.6983907222747803)]"
4,letusannya,"[('erupsi', 0.6475775837898254), ('vulkanis', 0.6167895197868347), ('letusan', 0.6115849614143372), ('kelud', 0.6110458374023438), ('vulkanik', 0.5997592210769653), ('supervulkan', 0.5832267999649048), ('kaldera', 0.5798106789588928), ('pinatubo', 0.5784855484962463), ('eruption', 0.5777744054794312), ('freatik', 0.5748130083084106)]"
4,meledak,"[('terbakar', 0.7041706442832947), ('diledakkan', 0.7025166749954224), ('menabrak', 0.6777507662773132), ('meledakkan', 0.6631945967674255), ('ledakan', 0.6421293020248413), ('menghantam', 0.6396952867507935), ('terlempar', 0.6162673234939575), ('terlontar', 0.6146308779716492), ('bom', 0.6006211638450623), ('meleset', 0.5893027782440186)]"
4,diguncang,"[('dihantam', 0.6918852925300598), ('mengguncang', 0.6645016074180603), ('dilanda', 0.6628299951553345), ('diterjang', 0.6462568044662476), ('melanda', 0.6236732006072998), ('dikejutkan', 0.6020774841308594), ('dibombardir', 0.5981042385101318), ('akibatkan', 0.5673908591270447), ('ditubruk', 0.5655706524848938), ('disapu', 0.5643830299377441)]"
4,menerpa,"[('menerjang', 0.734117865562439), ('melanda', 0.6732916831970215), ('dilanda', 0.6566982865333557), ('diterpa', 0.6439658999443054), ('diterjang', 0.641629159450531), ('menghantam', 0.6371551752090454), ('menyelimuti', 0.6133188009262085), ('menimpa', 0.5946042537689209), ('mengguncang', 0.5891726016998291), ('ribut', 0.5710320472717285)]"
4,menghantam,"[('menerjang', 0.7932635545730591), ('menabrak', 0.7447960376739502), ('dihantam', 0.7283347845077515), ('membentur', 0.6923872232437134), ('menembakkan', 0.6531770825386047), ('meledak', 0.6396952867507935), ('diterjang', 0.6387217044830322), ('menerpa', 0.6371550559997559), ('menghujani', 0.6340199708938599), ('meledakkan', 0.6232389807701111)]"
4,meletus,"[('meletusnya', 0.7483519315719604), ('mereda', 0.6455022096633911), ('terjadi', 0.6446946859359741), ('dilanda', 0.6441473364830017), ('pecah', 0.6426640152931213), ('berkecamuk', 0.6252986192703247), ('berkobar', 0.6250477433204651), ('melanda', 0.6156604290008545), ('menyulut', 0.5800020098686218), ('bergejolak', 0.5659834742546082)]"
4,menerjang,"[('menghantam', 0.7932634949684143), ('menerpa', 0.7341178059577942), ('diterjang', 0.6884691715240479), ('dihantam', 0.6729283928871155), ('menabrak', 0.6502247452735901), ('menghadang', 0.6472029685974121), ('tersapu', 0.6448074579238892), ('terhempas', 0.6370425224304199), ('menyambar', 0.6151570677757263), ('mengitari', 0.6112610697746277)]"
4,lantakkan,"[('meluluh', 0.8537121415138245), ('mocoa', 0.6371971368789673), ('denau', 0.6213922500610352), ('beichuan', 0.6176537275314331), ('gÃ¶lcÃ¼k', 0.6123666167259216), ('_ebinkarahisar', 0.6003665924072266), ('nalca', 0.5987026691436768), ('jingmen', 0.598564088344574), ('dundgovi', 0.5982379913330078), ('elÃ¢zÄ±_', 0.5976048111915588)]"
4,penggenangan,"[('erosi', 0.6992214322090149), ('sedimentasi', 0.6914655566215515), ('abrasi', 0.6628919839859009), ('pendangkalan', 0.6565967798233032), ('genangan', 0.6382520198822021), ('penguapan', 0.6205112934112549), ('kekeringan', 0.6020462512969971), ('pengendapan', 0.6005822420120239), ('tergenang', 0.5917762517929077), ('rembesan', 0.5848428606987)]"
4,korosi,"[('korosif', 0.7656034827232361), ('perkaratan', 0.7330294847488403), ('keausan', 0.730556309223175), ('merkuri', 0.7145576477050781), ('kontaminasi', 0.7070066928863525), ('magnesium', 0.6964232921600342), ('dekomposisi', 0.6942085027694702), ('toksisitas', 0.6905679702758789), ('erosi', 0.6790326833724976), ('toksik', 0.6708681583404541)]"
4,deforestasi,"[('penggundulan', 0.7269982099533081), ('erosi', 0.6995900273323059), ('penyusutan', 0.6983351707458496), ('pembalakan', 0.6926535367965698), ('penebangan', 0.6763195991516113), ('desertifikasi', 0.6602531671524048), ('gambut', 0.6538935303688049), ('perusakan', 0.6509549021720886), ('sedimentasi', 0.6506288051605225), ('kelangkaan', 0.6318125128746033)]"
4,penguapan,"[('evaporasi', 0.8486601710319519), ('penyerapan', 0.7810513973236084), ('kondensasi', 0.7725290656089783), ('pengendapan', 0.7673532962799072), ('transpirasi', 0.7670624852180481), ('pendinginan', 0.7604950666427612), ('kristalisasi', 0.7570402026176453), ('dekomposisi', 0.7558587789535522), ('lelehan', 0.7523300051689148), ('hidrasi', 0.746289074420929)]"
