tingakt,parent,similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,kolam,"[('pancuran', 0.6214996576309204), ('berendam', 0.6004249453544617), ('pemancingan', 0.5968477725982666), ('berenang', 0.5901930928230286), ('selokan', 0.5888571739196777), ('akuarium', 0.5852149128913879), ('danau', 0.5809979438781738), ('sumur', 0.5793885588645935), ('pemandian', 0.5760042071342468), ('keramba', 0.5653946399688721)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
3,ski,"[('luge', 0.6905668377876282), ('skiing', 0.6840013265609741), ('snowboarding', 0.6835572719573975), ('paralayang', 0.6712088584899902), ('skating', 0.6578911542892456), ('selancar', 0.6569369435310364), ('seluncur', 0.6482059359550476), ('bobsled', 0.6282820105552673), ('curling', 0.5898728966712952), ('hoki', 0.585507869720459)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
3,olimpiade,"[('paralimpiade', 0.7039491534233093), ('medali', 0.5626728534698486), ('atletik', 0.5487949252128601), ('maraton', 0.5474693775177002), ('kejuaraan', 0.5385244488716125), ('apho', 0.5351903438568115), ('atlet', 0.5166516900062561), ('kompetisi', 0.5063451528549194), ('ioc', 0.505649745464325), ('ipho', 0.5051937699317932)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
3,olympic,"[('gymnastics', 0.7078315019607544), ('paralympic', 0.6666226387023926), ('olympics', 0.6525307297706604), ('indoor', 0.6329622864723206), ('paralimpiade', 0.6143534779548645), ('equestrian', 0.5886576771736145), ('stadium', 0.578991174697876), ('fencing', 0.576291024684906), ('jamsil', 0.5713228583335876), ('handball', 0.5614898800849915)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
3,paralimpik,"[('paralimpiade', 0.589971125125885), ('olimpik', 0.5017284154891968), ('atletik', 0.4987117350101471), ('luge', 0.4801606237888336), ('olimpiade', 0.4744395911693573), ('iaaf', 0.46483415365219116), ('velodrome', 0.450770765542984), ('pentathlon', 0.44542747735977173), ('invitasi', 0.4422849714756012), ('trilomba', 0.44112566113471985)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
3,paralympic,"[('olympic', 0.6666226983070374), ('olympics', 0.6479068398475647), ('solidarity', 0.6457515358924866), ('olympiad', 0.6054832935333252), ('equestrian', 0.6039613485336304), ('committees', 0.5941135287284851), ('jamboree', 0.5699037909507751), ('paralimpiade', 0.5682737827301025), ('championships', 0.564876914024353), ('hockey', 0.557770848274231)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
3,universiade,"[('olympics', 0.6806052923202515), ('yatai', 0.6096811890602112), ('cheerleading', 0.5991378426551819), ('skiing', 0.5977910757064819), ('ternana', 0.5964449048042297), ('joc', 0.5948277115821838), ('norrkoping', 0.593058705329895), ('ekspo', 0.5914926528930664), ('rowing', 0.5913719534873962), ('ethnikos', 0.5857090353965759)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
3,fiba,"[('eurobasket', 0.6926175355911255), ('cev', 0.6758173108100891), ('iaaf', 0.6695790886878967), ('fivb', 0.6562316417694092), ('oceania', 0.6490517854690552), ('championships', 0.6317002177238464), ('supercup', 0.6281353831291199), ('antarklub', 0.615783154964447), ('volleyball', 0.6145532131195068), ('ofc', 0.6136555671691895)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
3,sochi,"[('yekaterinburg', 0.7902527451515198), ('belgorod', 0.7429124116897583), ('vladivostok', 0.7374234199523926), ('novosibirsk', 0.718723714351654), ('minsk', 0.7139790058135986), ('novorossiysk', 0.7110476493835449), ('kaliningrad', 0.7097901701927185), ('almaty', 0.7047938108444214), ('khabarovsk', 0.6992823481559753), ('irkutsk', 0.6985453963279724)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
3,olympics,"[('universiade', 0.6806052923202515), ('olympic', 0.6525307893753052), ('paralympic', 0.6479068398475647), ('breeze', 0.6293976902961731), ('championships', 0.6234949231147766), ('ceremony', 0.615689754486084), ('winter', 0.607581615447998), ('summer', 0.6008060574531555), ('freestyle', 0.5872869491577148), ('athletics', 0.5810270309448242)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
3,outbond,"[('outbound', 0.7640531659126282), ('rekreasi', 0.7293903827667236), ('outdoor', 0.7098573446273804), ('jogging', 0.6937210559844971), ('rafting', 0.6574971079826355), ('gazebo', 0.6552488803863525), ('pemancingan', 0.6415077447891235), ('snorkeling', 0.633493959903717), ('hiking', 0.6266620755195618), ('diving', 0.6141456365585327)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
3,pemancingan,"[('keramba', 0.6994715929031372), ('rekreasi', 0.6926701068878174), ('snorkeling', 0.6688668131828308), ('mancing', 0.6678527593612671), ('outbond', 0.6415076851844788), ('rafting', 0.6306124925613403), ('berselancar', 0.6202310919761658), ('pelelangan', 0.6156570911407471), ('mujair', 0.6105811595916748), ('empang', 0.6092086434364319)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
3,ekowisata,"[('wisatanya', 0.671657919883728), ('agrowisata', 0.6666316390037537), ('agro', 0.6657493710517883), ('geowisata', 0.6582666635513306), ('rekreasi', 0.6549933552742004), ('wisata', 0.6513607501983643), ('mangrove', 0.6487120985984802), ('rafting', 0.616179347038269), ('pariwisata', 0.6116277575492859), ('wanawisata', 0.6074128746986389)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
3,wisata,"[('wisatanya', 0.7559095025062561), ('pariwisata', 0.6743682622909546), ('waterpark', 0.658130943775177), ('ekowisata', 0.6513607501983643), ('agrowisata', 0.6456970572471619), ('rekreasi', 0.6377192735671997), ('obyek', 0.6137995719909668), ('wanawisata', 0.5578933358192444), ('geowisata', 0.5572070479393005), ('pemandian', 0.5545709729194641)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
